"","category","longitude","latitude"
"95","travel",13.191684838,58.497862182
"96","travel",120.533650775,15.175197626
"97","travel",-87.9937592,43.0144501
"98","travel",-85.486151006,36.194264776
"99","travel",-88.470235805,44.286486374
"100","travel",31.229817867,30.062232135
"101","travel",14.40227,50.07639
"102","travel",98.297409806,7.891588834
"103","travel",-87.9146899,42.90023
"104","travel",-93.2797,37.21078
"105","travel",-99.0331,19.4136
"106","travel",20.4622,44.8206
"107","travel",31.202813387,30.036122193
"108","travel",8.530497551,48.124650632
"109","travel",-80.0822761,40.654733
"110","travel",101.68821,3.16311
"111","travel",30.938808918,29.973175611
"112","travel",101.680011749,2.74518779
"113","travel",23.7552109,37.9812012
"114","travel",31.202813387,30.036122193
"115","travel",31.33918494,30.068847912
"116","travel",-73.963737488,40.671915381
"117","travel",13.381741228,49.738386306
"118","travel",-87.6844,41.8369
"119","travel",3.041962,36.75323
"120","travel",-80.466404848,35.285157714
"121","travel",-78.64435,41.95754
"122","travel",90.3873,23.87552
"123","travel",-78.64435,41.95754
"124","travel",-4.2595871,55.8502222
"125","travel",31.202813387,30.036122193
"126","travel",15.85026741,50.207024627
"127","travel",127.7801473,26.3432694
"128","travel",14.425446711,50.081761642
"129","travel",-90.196273847,38.615310576
"130","travel",-117.5234528,34.1149063
"131","travel",-81.546535492,30.790953804
"132","travel",31.229817867,30.062232135
"133","travel",31.229817867,30.062232135
"134","travel",111.55,2.316667
"135","travel",2.32445,48.82467
"136","travel",-66.074911032,18.424432726
"137","travel",20.483601093,44.801364893
"138","travel",13.242344856,52.520366514
"139","travel",72.520086765,23.060148054
"140","travel",-9.1494,38.72096
"141","travel",15.7799902,50.0399399
"142","travel",23.345947266,42.652441757
"143","travel",11.12815,44.51162
"144","travel",30.51593,50.46163
"145","travel",31.202813387,30.036122193
"146","travel",31.345646381,30.057672794
"147","travel",-77.641998,36.4420647
"148","travel",4.35609,50.84439
"149","travel",-76.3407,37.02573
"150","travel",110.4186994,-6.9895677
"151","travel",-84.32988,39.27076
"152","travel",-79.3771944,37.83165218
"153","travel",121.54007,25.05807
"154","travel",-77.04359517,38.897837033
"155","travel",6.94794559,50.953040329
"156","travel",31.202813387,30.036122193
"157","travel",14.42482,50.08808
"158","travel",30.51593,50.46163
"159","travel",30.51593,50.46163
"160","travel",10.04322052,45.780454037
"161","travel",30.51593,50.46163
"162","travel",-0.0112,51.64347
"163","travel",-98.231161874,19.027178673
"164","travel",30.989620686,30.795727836
"165","travel",11.12815,44.51162
"166","travel",16.045278169,46.642842423
"167","travel",20.4622,44.8206
"168","travel",20.4622,44.8206
"169","travel",23.345947266,42.652441757
"170","travel",-98.231161874,19.027178673
"171","travel",25.42427,57.53504
"172","travel",10.156007409,36.844168819
"173","travel",-98.231161874,19.027178673
"174","travel",-98.231161874,19.027178673
"175","travel",30.51593,50.46163
"176","travel",30.06253,31.30914
"177","travel",-47.46417,-23.49922
"178","travel",-98.231161874,19.027178673
"179","travel",30.51593,50.46163
"180","travel",23.34073,42.64369
"181","travel",-98.231161874,19.027178673
"182","travel",23.34073,42.64369
"183","travel",23.34073,42.64369
"184","travel",23.34073,42.64369
"185","travel",6.121809483,46.238648412
"186","travel",23.34073,42.64369
